ID,Quote Id
1,MOESCHETQ22001306
2,MOESCHETQ22001299
3,MOESCHETQ22001295
4,MOESCHETQ22001254
5,MOESCHETQ22001240
6,CAA000ETQ22000009
7,MOESCHETQ22001217
8,MOESCHETQ22001167
9,MOESCHETQ22001181
10,SPO000ETQ22000084
11,MOESCHETQ22001184
12,MOESCHETQ22001162
13,MOESCHETQ22001154
14,MOESCHETQ22001169
15,MOESCHETQ22001164
16,MOESCHETQ22001061
17,MOESCHETQ22001166
18,MOESCHETQ22001163 / SBPS22/0304/01
19,MOESCHETQ22001158
20,MOESCHETQ22001157
21,MOESCHETQ22001140 / AOR2022/028(New P2 & P5SEP)
22,MOESCHETQ22001156
23,MOESCHETQ22001069
24,MOESCHETQ22001105
25,MOESCHETQ22001119
26,MOESCHETQ22001115
27,MOESCHETQ22001006
28,MOESCHETQ22001112
29,MOESCHETQ22001107
30,MOESCHETQ22001100
31,MOESCHETQ22001086
32,MOESCHETQ22001093
33,ITE000ETQ22000053 / Q21a-01254_WSD
34,MOESCHETQ22001081
35,MOESCHETQ22001082
36,MOESCHETQ22001068
37,MOESCHETQ22001039
38,MOESCHETQ22001052
39,MOESCHETQ22001051
40,MOESCHETQ22001048
41,MOESCHETQ22001035
42,MOESCHETQ22001022
43,MOESCHETQ22001031
44,MOESCHETQ22001025
45,MOESCHETQ22001012
46,MOESCHETQ22001005
47,MOESCHETQ22000998
48,MOESCHETQ22000981
