ID,Quote Id,Type,Quote Title,Awarded Coy,Bid Price
1,MOESCHETQ22001456,Quotation,P5 Art Curriculum Programme in Townsville Primary School,,
2,FOR000ETQ22000015,Quotation,Appointment of a vendor to conduct one mandatory run of the Leadership and Management Workshop for the FSBP 2022,,
3,MOESCHETQ22001441,Quotation,ST ANDREWS JUNIOR SCHOOL: LANGUAGE FACILITATOR FOR DYSLEXIA INTERVENTION 2022-2024,,
4,MOESCHETQ22001442,Quotation,Supply of Instructors for Sec 2 Dragon Boating or Kayaking in Meridian Secondary School,,
5,MOESCHETQ22001429,Quotation,Primary 3 & 4 Conversational Chinese and Malay Language Programme 2022,,
6,NLB000ETQ22000017,Quotation,"INVITATION TO QUOTE (ITQ) FOR THE PROVISION OF WORKSHOPS FOR KIDSREAD PROGRAMME, FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",,
7,MOESCHETQ22001436,Quotation,P3-P6 Student Leadership Programme for Ahmad Ibrahim Primary School,,
8,MOESCHETQ22001427,Quotation,Supply of Instructors for 2022 e-Twinning Programme for Primary 5 Students in Zhenghua Primary School,,
9,MOESCHETQ22001395,Quotation,Secondary 2 Learning Festival (Career Exploration Programme),,
10,MOESCHETQ22001431 / MOESCHEAR22010448 (AOR2022107),Quotation,"Lifeskills Workshop 2022 for P1, P2 and P3 Students, Yangzheng Pri School",,
11,MOESCHETQ22001375 / 2022-CCAVB--1,Quotation,,,
12,MOESCHETQ22001335,Quotation,Supply of Instructor for Volleyball CCA Training Programme in Cantonment Primary School,MINTONETTE SPORTS MANAGEMENT,"9,100.00 (SGD)"
13,MOESCHETQ22001306,Quotation,Supply of Instructors for provision of 3-Day non-residential Primary 5 Outdoor and Leadership Adventure Camp for Pei Chun Public School (2022),TOUCH COMMUNITY SERVICES LIMITED,"23,162.00 (SGD)"
14,MOESCHETQ22001299,Quotation,Supply of Consultant/Trainer for Organisational Change Professional Developmental Programme in Poi Ching School,YI CONSULTANCY PTE. LTD.,"45,200.00 (SGD)"
15,MOESCHETQ22001295,Quotation,Supply of Instructors for Coding Programme for P3 Students for Zhangde Primary School,DUCK LEARNING,"5,125.00 (SGD)"
16,MOESCHETQ22001270,Quotation,CPR/AED Programme for Secondary 3 Students in Bukit Batok Secondary School,ARIS INTEGRATED MEDICAL PTE. LTD.,"7,344.00 (SGD)"
17,MOESCHETQ22001256,Quotation,"P3 & P4 Science, Technology, Engineering and Mathematics Programme",Multiple Suppliers,"23,100.00 (SGD)"
18,MOESCHETQ22001268,Quotation,L2 Rugged Outdoor Camp (300pax) / L2 Rugged Outdoor Camp Teacher Expenses,TREKKERS PTE. LTD.,"59,812.00 (SGD)"
19,MOESCHETQ22001257,Quotation,P3 and P4 Drama in Communication Programme,KELVIN SNG PRODUCTIONS PTE. LTD.,"7,280.00 (SGD)"
20,MOESCHETQ22001254,Quotation,Interview Skills & Portfolio Workshop in Hua Yi Secondary School,HIGH ACHIEVERS TRAINING CONSULTANCY PRIVATE LIMITED,"6,504.00 (SGD)"
21,MOESCHETQ22001241 / 22424,Quotation,Year 1 OAL cohort camp 2022,INTERNATIONAL PARADISE CONNEXIONS TOURS & TRAVELS PTE LTD,"47,870.00 (SGD)"
22,MOESCHETQ22001240,Quotation,,,
23,CAA000ETQ22000009,Quotation,P5 & P6 LOL Programme 2022 (Glow Programme),CARE CORNER SINGAPORE LTD,"10,000.00 (SGD)"
24,MOESCHETQ22001217,Quotation,"Bukit Timah Primary School - 2-Day Non-Residential Primary 4 Cohort Camp (the ""Programme"")",TOUCH COMMUNITY SERVICES LIMITED,"12,168.00 (SGD)"
25,MOESCHETQ22001219 / SPS/2022/007,Quotation,Provision of Training Services on Foam Tender Operations & Defensive Driving,COMFORTDELGRO DRIVING CENTRE PTE. LTD.,"22,950.00 (SGD)"
